mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.289859676361084;0.007670695039205491;0.012677621841430665;0.00025943698856350616;7;log2;10;4;190;{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 4, 'n_estimators': 190};0.8100558659217877;0.8314606741573034;0.8146067415730337;0.7359550561797753;0.8202247191011236;0.8024606113866046;0.03401403359475623;78
0.014539146423339843;0.0011449636526766698;0.003555583953857422;0.002054993879846415;12;sqrt;11;6;8;{'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 11, 'min_samples_split': 6, 'n_estimators': 8};0.7932960893854749;0.8314606741573034;0.8089887640449438;0.7471910112359551;0.8202247191011236;0.8002322515849603;0.02937030189842122;90
0.12002029418945312;0.0016893741100141898;0.005233669281005859;0.00029186331887576207;12;;11;15;62;{'max_depth': 12, 'max_features': None, 'min_samples_leaf': 11, 'min_samples_split': 15, 'n_estimators': 62};0.7877094972067039;0.8258426966292135;0.8089887640449438;0.797752808988764;0.8314606741573034;0.8103508882053857;0.016485258625258434;48
0.02531461715698242;0.0011680779951743984;0.0029070377349853516;0.0006574145443864468;8;log2;5;19;14;{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 19, 'n_estimators': 14};0.8044692737430168;0.8314606741573034;0.8089887640449438;0.7359550561797753;0.8258426966292135;0.8013432929508506;0.034208548415634324;86
0.15566539764404297;0.009191603484750907;0.0067042350769042965;0.0006854473130327718;14;;15;9;79;{'max_depth': 14, 'max_features': None, 'min_samples_leaf': 15, 'min_samples_split': 9, 'n_estimators': 79};0.7430167597765364;0.8258426966292135;0.8146067415730337;0.7752808988764045;0.8314606741573034;0.7980415542024982;0.03379325957612765;102
0.12931299209594727;0.007368593941646619;0.006485843658447265;0.00011670540496832618;18;log2;20;10;83;{'max_depth': 18, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 10, 'n_estimators': 83};0.7988826815642458;0.8370786516853933;0.8202247191011236;0.7191011235955056;0.797752808988764;0.7946079969870065;0.040470788632056415;143
0.3030496597290039;0.015378035053386805;0.013098859786987304;0.0013348680159797738;12;log2;8;4;184;{'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 184};0.7988826815642458;0.8314606741573034;0.8146067415730337;0.7415730337078652;0.8146067415730337;0.8002259745150964;0.031084373197401188;93
0.37920346260070803;0.042301840272795134;0.013034391403198241;0.001569411744682181;14;;5;14;173;{'max_depth': 14, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 14, 'n_estimators': 173};0.8044692737430168;0.848314606741573;0.8146067415730337;0.8033707865168539;0.8426966292134831;0.8226916075575922;0.01911780119135707;8
0.08066959381103515;0.0044271207616141455;0.00479421615600586;0.0005435224661215279;12;sqrt;17;15;50;{'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 17, 'min_samples_split': 15, 'n_estimators': 50};0.7932960893854749;0.8370786516853933;0.8146067415730337;0.7191011235955056;0.8033707865168539;0.7934906785512523;0.03994310905363247;152
0.1855929374694824;0.005411592680982774;0.009467267990112304;0.0011546627155335472;15;log2;3;9;108;{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 108};0.7988826815642458;0.8539325842696629;0.8314606741573034;0.7808988764044944;0.8426966292134831;0.8215742891218379;0.02742389971599354;11
0.2896248817443848;0.003324021601520978;0.012833499908447265;0.0010677275166834702;14;sqrt;15;6;190;{'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 15, 'min_samples_split': 6, 'n_estimators': 190};0.7988826815642458;0.8370786516853933;0.8146067415730337;0.7191011235955056;0.8146067415730337;0.7968551879982424;0.040738108942203116;123
0.23096132278442383;0.0183773334600187;0.008083629608154296;0.0007701942860150405;19;;20;12;116;{'max_depth': 19, 'max_features': None, 'min_samples_leaf': 20, 'min_samples_split': 12, 'n_estimators': 116};0.7486033519553073;0.8146067415730337;0.8258426966292135;0.7808988764044944;0.8146067415730337;0.7969116816270165;0.02847222706009703;115
0.030270767211914063;0.009917325428771846;0.002737569808959961;0.0003461486822262351;5;sqrt;9;20;15;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 20, 'n_estimators': 15};0.770949720670391;0.8370786516853933;0.8146067415730337;0.7528089887640449;0.8258426966292135;0.8002573598644153;0.032639262796083375;88
0.04848213195800781;0.004145205006488693;0.0036893367767333986;0.00038044130456392754;8;sqrt;18;19;29;{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 18, 'min_samples_split': 19, 'n_estimators': 29};0.7877094972067039;0.8370786516853933;0.8202247191011236;0.7191011235955056;0.7921348314606742;0.7912497646098802;0.040394499910723546;163
0.1630415916442871;0.0061565444330423085;0.007771778106689453;0.0005730004021805854;12;sqrt;2;14;98;{'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 14, 'n_estimators': 98};0.7932960893854749;0.8426966292134831;0.8258426966292135;0.7865168539325843;0.8370786516853933;0.8170861841692298;0.02294655845284234;26
